Title ID	Region	Name	PKG direct link	Content ID	Last Modification Date	Original Name	File Size	SHA256
NPUF30043	US	Favorite Dear ~Enkan no Monogatari~	http://zeus.dl.playstation.net/cdn/JP0747/NPJJ00472_00/7dacWW9nuVby52RpUAbREwf3FbuXJGRKOGRxi8mqHqyXspchprPSVALMdKUVBV2jfAynlGSFpfms1aqCXbTnM5qCAu86InBDc47uE.pkg	JP0747-NPUF30043_00-0000000000000001	2017-10-30 15:55:05		282806656	4c429208b6d05ff0f1d6bdb7d706148a1c3d7140b44acd46c0b4b7e4a65986c4
NPUF30044	US	Favorite Dear ~Jyunpaku no Yogensha~	http://zeus.dl.playstation.net/cdn/JP0747/NPJJ00488_00/x3RWuU7yvCTtB2boe7dFrNY8OsGKcXHcSVpiI8RcTxgyfWJpw0Uya10BnMPliW1jRSLTtvOgo7xioDEqtTrRWOpareuxkCikbdVhc.pkg	JP0747-NPUF30044_00-0000000000000001	2017-10-30 15:55:05		332719312	821e4ce86076bd098d8635c264d99d0e66549e931173070d56a2718dfe4163d3
NPUF30045	US	First Queen IV	http://zeus.dl.playstation.net/cdn/JP0747/NPJJ00524_00/yUgfWyIxZmnOibsNMpDeQHooPCbIYWcgnWLkWfLHhuUGwNwZCEPVLrjSSVQuNgjPKvSjCZdTIxiWolRpYvZyZpgyhFZVZdeqPmZzv.pkg	JP0747-NPUF30045_00-0000000000000001	2017-11-14 22:20:02		73678768	8fcab4e5d5767bf23c9e57da21f4038ba71b45a61789d3dc7e312071015a6ce5
NPUF30047	US	Motto Trump Shiyouyo!	http://zeus.dl.playstation.net/cdn/JP0747/NPJJ00651_00/rewIIKUNWwrRCssHXJolIaTFIVFkLFfLsGYdMuginyuGrRTnxBKyFZSZFoeckKUPfffUSHhsDelOWaKDrtfIJqNQIhCoSeDjeNIHB.pkg	JP0747-NPUF30047_00-0000000000000001	2017-11-16 08:59:07		176362576	0bee198f525c8840623b4acc49be21a0e1c975897f1f297cb9b0e1be498397d5
NPUF30048	US	Oz no Mahoutsukai ~Another World~ RungRung	http://zeus.dl.playstation.net/cdn/JP0747/NPJJ00442_00/a4HjaaBYb8wsAeOYUbCHNHeREnakNiX6kDJ604XLTk9yYOvHntHkahTjEN5U981NbcPwkt1okdhNFxKhIhTWADj974AhxrYtD9FLQ.pkg	JP0747-NPUF30048_00-0000000000000001	2017-10-30 15:55:05		312932576	74b93ac48f966cf78cefe285ac7f021d6df9ab840c867f83ea1c89cccf44b6a4
NPUF30049	US	Sentimental Graffiti	http://zeus.dl.playstation.net/cdn/JP0747/NPJJ00328_00/dmrvFFNw4AVKppKwQHaB6WQ8W9gVAxQVDgERB2tpXxCwupgKmfbx9IdgONtli0somKAhnomOQanyTVplJwLEFxmpKoeR3Ht0rCHfv.pkg	JP0747-NPUF30049_00-0000000000000001	2017-11-14 22:19:35		448948912	bdf1f0d1ef02f4c7967bc4d680cc6cf7a80d279b7747da1eba458727038cfc42
NPUF30050	US	Trump Shiyouyo! Fukkoku-ban	http://zeus.dl.playstation.net/cdn/JP0747/NPJJ00633_00/bygjBuiMHUhWIuzyyDuteLSuJXAChqfxokquIqUMAUhIYMdfvvqsMDvVFXqVvOswueGYFjgbMbIfORcfuLqNyrqvJkybQaJohgncl.pkg	JP0747-NPUF30050_00-0000000000000001	2017-11-16 08:57:56		74588368	81365f89a633c1b4a52d41bb950b4b1855ee0ec1f570a7e3ac03f2c03f535b5f
NPUF30051	US	Mahjong Uranai Fortuna-Tsuki no Megami Tachi	http://zeus.dl.playstation.net/cdn/JP0747/NPJJ00505_00/gdESbROUqAuIsSzbRprBlzaOcENMrJxxiSZojlfYTeElHSRpCSIuOxRiLPyTObVangCFZGfJMGUyOvVZnMKZGZkOutMizWOWLupLh.pkg	JP0747-NPUF30051_00-0000000000000001	2017-10-30 15:55:05		306821968	6f67f4238715dc2ddf8f6968c46f5de0c1e6acc16e283143ab5bfb0676b68c4e
NPUF30053	US	Double Dragon	http://zeus.dl.playstation.net/cdn/JP0571/NPJJ00595_00/gkibrEFRUleQyYMJccGRDXAGtiDDFLpWFGZHeJbCUiwPaDOfinTKewcNfdlsTXkwOQnGjBBEBPvZOGoHjESFJldWWWZuGBTZJsaqz.pkg	JP0571-NPUF30053_00-0000000000000001	2017-11-14 11:57:58		80525552	024b916e430d366b52d6398bdf10cf717e5ba50bf37a64c5b7e1c18fd737c517
NPUF30054	US	Hyper Crazy Climber	http://zeus.dl.playstation.net/cdn/JP0571/NPJJ00320_00/K3fIFBmPfURQEM1lQiFam9U5rb1it2iT9BFPObPyoSUQNkG8laS1QccTjslC6D6jU9BIcdGlJ6ycmd7GL4rniaoCnK8NUsTV41HJF.pkg	JP0571-NPUF30054_00-0000000000000001	2017-11-14 22:18:12		119552704	82af39bdb8abb27a58fdd28e9b91938657996f9137177514b9af59f5f3c8d7bf
NPUF30055	US	Lucifer Ring	http://zeus.dl.playstation.net/cdn/JP0571/NPJJ00298_00/ik1ppk2ee0UhuOFbJeIS80v3m3iHwf5F5Y2XRS3O5dThXxQLYLYgroU5BW6643bwQ2uM4rds0JYoc2EnANc7MrelDPXOoLG5VFLcG.pkg	JP0571-NPUF30055_00-0000000000000001	2017-11-13 17:10:21		75498272	2bfd5762121ef6e8535b2b24a0df3eaad923de730a2f9423f2478f36b25a265e
NPUF30056	US	Wolf Fang	http://zeus.dl.playstation.net/cdn/JP0571/NPJJ00360_00/UWisp1InKbeG0kElIwH0muV7ug8KyUSuWekhc49yqATN5u3IO2QFHjRvFf6MrrBL7r3mWorKahCxbMptkKX7JbxEPBU4dcIDM3Tg5.pkg	JP0571-NPUF30056_00-0000000000000001	2017-11-14 22:18:02		225293488	ebebd68ba0aa1cbd39e89f9ced0b67c6ca82f1cb2e7d7b8b028031789a266a09
NPUF30059	US	The Firemen 2: Pete & Danny	http://zeus.dl.playstation.net/cdn/JP0571/NPJJ00391_00/mrdk1WlQNBWSmBQYrL0EHFK4fGb5StwGTIQESjaeKT4seytb3rCqfenyY90ckrr3kpNvH52fjAAoQ0g3cJJayyNB1N1AlxvNR2raa.pkg	JP0571-NPUF30059_00-0000000000000001	2017-11-14 22:17:41		152491584	634c59a86f042a9edce38a84c0c898ad16d067295cd3f2addcfb5d1327723387
NPUF30060	US	Sarara's Little Shop	MISSING	JP0747-NPUF30060_00-0000000000000001			MISSING	
NPUF30061	US	Tokyo 23-Ku Seifuku Wars	http://zeus.dl.playstation.net/cdn/JP0747/NPJJ00683_00/SdcscKuXLApLuFvBBPlIbJLlthvKqREPohVuowFIutXxAAxMHBUBbFafgFQojlUvnkqoCKZhCfAkKUlATNDhMuSiiYpmpvodpmJID.pkg	JP0747-NPUF30061_00-0000000000000001	2017-11-14 22:17:17		275758256	0d9b3290c591330e1fd5caf1bf8260cc55020f39aef779d258031a491a3d6b03
