Title ID	Region	Type	Name	PKG direct link	Content ID	Last Modification Date	RAP	Download .RAP file	File Size	SHA256
NPUZ00084	US	Minis	Express Raider (Minis)	http://zeus.dl.playstation.net/cdn/UP2033/NPUZ00084_00/NndCI4Ioe0TiX9tX7I1Fn57NXtDEpCWel8c7iXSHt1VpmJ9sldjDpyvuefhquaMSX1Lvbr6yac3yY4oSCAQMMw0WTReP4GUA2sYIf.pkg	UP2033-NPUZ00084_00-2010052510080001	2017-10-30 15:53:52			4746176	66e7f8e1fe96ee3794e0439f985fd9a57fa2532ab6b1a1ab82f01706a21ddce0
NPUZ00086	US	Minis	5 in 1 Solitaire (Minis)	http://zeus.dl.playstation.net/cdn/UP2043/NPUZ00086_00/ctiaUEraNAALrFcIhRYycnBmteVoTlvjtTLOfwIsJyBWJnmopWRUlFDWoExZjtPYDjsbmsUtnMZgPBLhWTRPgLrbmgxBsohSgmNZg.pkg	UP2043-NPUZ00086_00-0000000000000001	2017-10-30 15:53:52			5819712	664acadfe3d71f376ef4290b72e5c67625e53a320c45c30e9dcbf3c97a0be995
NPUZ00087	US	Minis	Beam’em Up (Minis)	http://zeus.dl.playstation.net/cdn/UP4086/NPUZ00087_00/F3HYkHKUNkHlOANPrlOHFF0nXs13NFsRwSXaMUsDA5WL27MiqK9sgQcguundsANm2rJbrN04KECfyr3dJ8ARqERNO0HVDjcoEo5rq.pkg	UP4086-NPUZ00087_00-2010043011000101	2017-10-30 15:53:52			16398240	cc17203b672326bad7731c35c26d540de3ec420dfeb8b51f13e72ecc6f67ee11
NPUZ00090	US	Minis	HISTORY Egypt – Engineering an Empire (Minis)	http://zeus.dl.playstation.net/cdn/UP4136/NPUZ00090_00/UDtqcyn73VGKYM8P0WjTMQ7EVITtwdi1EbNXtemdPS5lHr1gVceRqgumcMeSp4L08kp0yhlM6fLpEpubcutrYrxW0qti6inJGCT5v.pkg	UP4136-NPUZ00090_00-SLITHERINE000001	2017-10-30 15:53:52			21058736	a8e0eb4554464d094a7d1935f0fc00b4a4a7a0adf1ba559374df42f6a75a566f
NPUZ00091	US	Minis	HISTORY Ice Road Truckers (Minis)	http://zeus.dl.playstation.net/cdn/UP4136/NPUZ00091_00/lDqvuBWoSs3s3cKHo90N9KKtaxwWsdvxbI6wMmnrHE81DInJU3WEun35BQvbAUN5YEa7TbByhdDyugJKgsv4iuufpCe9Y24Eib7l7.pkg	UP4136-NPUZ00091_00-0000111122223333	2017-10-30 15:53:52			17256880	24b38eee8c696945d864bc94fdeee52dfecefc4b55f7476cf071543b3ab1505a
NPUZ00092	US	Minis	Stellar Attack (Minis)	http://zeus.dl.playstation.net/cdn/UP4132/NPUZ00092_00/ph0Hj8QDNNjKWCjMHe7WFgSWYcfusxvPvaOlaOnO0HbjKkkIpPRPH14asOV8pu95s35X0vArsN0YVjVRgwigVMg9p5m0vrDXlyfvS.pkg	UP4132-NPUZ00092_00-STELLARATTACK001	2017-10-30 15:53:52			35428384	2bd310ae1630c5fb8633d3fbeba53c047a49fb8a546bee8fee3cf3d3b28d07ef
NPUZ00093	US	Minis	Gold Fever (Minis)	http://zeus.dl.playstation.net/cdn/UP2016/NPUZ00093_00/HxnAP13WLpS80d5g4GuNlQqUdRcypR4fCXiN754HJUAcleLwgYRQEq1Nf3CVTLyG0fE8BuLNmeRCqFK9fGEFSR9RlNVQcmym7Twlq.pkg	UP2016-NPUZ00093_00-GOLDFEVER0000001	2017-10-30 15:53:52			9391440	4e6060f092954af4fdb56808198d3b652ef65e2c83f54d80367909f737253520
NPUZ00094	US	Minis	Rocks N’ Rockets (Minis)	http://zeus.dl.playstation.net/cdn/UP2016/NPUZ00094_00/UHRThmRB7SVCDDIbaGLSXGKa1jus6Cwv0uf23phQIxgMamVxRWrnH8OB0GnGwgsidTlmgff06GFP12N8724hambTHi4CcOR5hytEE.pkg	UP2016-NPUZ00094_00-ROCKSNROCKETS001	2017-10-30 15:53:52			8068192	b414f278b042ade13179a29aab16a997bf3e97819109090b34e31c54e9d11b8f
NPUZ00095	US	Minis	Vibes (Minis)	http://zeus.dl.playstation.net/cdn/UP4132/NPUZ00095_00/lAgQp0EXUMaEHGVcgRnnAtQ1jq7m4L6SjFEWGMv8nTcthAprtG7KBKVrMTIyoYcWwlIMOdj2lJpeTdDF0I2pcA0qIKx25x9VHRgI9.pkg	UP4132-NPUZ00095_00-VIBES00000000001	2017-10-30 15:53:52			62581344	b5df91e3d9ebcc7e505546392f6371143404c1f725f59d7a7fb12b6ab8ebf86b
NPUZ00097	US	Minis	Arcade Darts (Minis)	http://zeus.dl.playstation.net/cdn/UP4090/NPUZ00097_00/lYTjEbDAkRo1L1vVwsKeG0YdxG2hEvWQ6cEK5NpvR9xD2xRIJBS3YcT7SDrAHweSqpWwBbNvdDhRBMuT0oEIlqPGEANuIIcqxUbmk.pkg	UP4090-NPUZ00097_00-ARCADEDARTSSPORT	2017-10-30 15:53:52			23192128	e3a866aa81c445e305b7b3b5f208ff291ea8d57a4ba56cbf5e2d12e90e56fd55
NPUZ00098	US	Minis	Apache Overkill (Minis)	http://zeus.dl.playstation.net/cdn/UP4093/NPUZ00098_00/r55LAo9QSbT19FQqgA3KquckLGBevanF49t37CtyUNEst1kmsxciE2aTQU6DgjYF5oX7xVoeelpLsqlGLRRYjMiAWuOi2GNsXnuMc.pkg	UP4093-NPUZ00098_00-APACHEOVERKILL00	2017-10-30 15:53:52			5143232	345c2a1f2dba72d98f7ea4307d18615de9d05b63d50a03e9129aac72a63fcc7d
